College,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Amherst (MA),1706,1306,1386,1642,1641,1824,2149,2194,2032,2248
Barnard (NY),216,168,187,218,216,244,276,297,287,327
Bates (ME),267,184,199,231,216,234,264,262,251,294
Beloit (WI),132,104,108,115,117,132,145,149,142,154
Bowdoin (ME),831,688,754,904,902,1039,1216,1393,1340,1456
Bryn Mawr (PA),668,522,574,671,645,711,854,853,797,846
Bucknell (PA),555,443,491,575,599,667,751,789,722,801
Carleton (MN),648,517,563,653,646,701,793,783,738,828
Claremont/Mc (CA),528,400,466,543,521,599,699,734,709,784
Colby (ME),600,453,502,611,600,650,741,746,711,775
Colgate (NY),704,561,614,693,687,761,866,892,822,881
Coll Holy Cross (MA),629,490,522,608,590,635,726,721,681,749
Colorado (CO),492,401,460,542,533,593,680,720,683,743
Connecticut (CT),216,165,179,213,211,237,278,284,274,300
Davidson (NC),501,369,428,510,511,565,649,683,649,716
Franklin & Marshall (PA),335,249,266,303,285,306,339,335,306,341
Grinnell (IA),1472,1076,1265,1500,1384,1554,1830,1788,1649,1871
Hamilton (NY),670,489,553,658,635,710,859,856,817,906
Haverford (PA),521,336,356,403,388,434,495,495,472,512
Kenyon (OH),189,151,159,180,185,195,212,219,209,238
Lafayette (PA),683,536,581,560,652,720,801,778,733,790
Lawrence (WI),216,168,180,215,194,212,249,275,283,318
Macalester (MN),665,546,587,654,635,687,754,762,700,748
Middlebury (VT),885,700,783,908,880,973,1082,1101,1002,1074
Mt Holyoke (MA),663,488,520,602,583,632,710,700,668,729
Oberlin (OH),761,550,618,700,675,728,816,832,770,838
Occidental (CA),360,282,299,342,331,357,406,392,372,413
Pomona (CA),1794,1334,1459,1700,1680,1823,2101,2099,1985,2167
Reed (OR),427,311,359,399,440,485,543,545,497,540
Sarah Lawrence (NY),78,59,66,74,67,75,88,91,90,104
Scripps (CA),271,212,237,267,257,282,311,305,296,306
Smith (MA),1366,1096,1244,1439,1410,1557,1756,1782,1627,1767
Swarthmore (PA),1413,1129,1249,1508,1499,1635,1877,1846,1747,1956
Trinity (CT),414,319,357,417,423,473,540,562,524,577
"U of South, Sewanee (TN)",313,246,272,319,319,337,374,378,358,395
Union (NY),391,284,291,322,317,353,411,436,385,423
Vassar (NY),849,658,699,814,805,869,974,983,929,1003
Washington & Lee (VA) *,719,897,1008,1218,1262,1345,1478,1471,1472,1547
Wellesley (MA),1611,1266,1307,1500,1445,1550,1808,1854,1762,1931
Wesleyan U (CT),652,476,504,590,601,670,768,810,770,898
Williams (MA),1808,1409,1527,1784,1799,1997,2253,2395,2256,2509
